account_id,entity_id,bank_code,account_number,program_id,available_balance_minor,balance_as_of
0015658b-6dd9-4631-91dd-bf8de3192e80,48c62fe2-df73-4771-88b9-0d2b9abe4dcd,SBIN,8043882180958556,21,609991507,
00588a5a-f6fa-48b9-9a03-5843a76e110b,ca3ef5eb-57cf-4f4c-9e44-a69091c1536d,SBIN,1424388812438619,21,196442027,
01076b05-c492-4732-94a1-bb60a544a100,fbee883d-eaea-43b4-bc2f-a960358fef52,SBIN,9595894025575087,21,462368787,
01372a31-1eab-4eec-839d-15f5e2ca5a4c,381c06a5-99e6-4f42-8af3-60b0113d5af8,HDFC,1964541727276810,4,462892148,
0143850d-fe0f-4640-8243-b1c7f33491e5,35fced9c-a260-4f44-ba40-f2f13ab725ab,ICIC,3130219073040864,46,634917274,
014952be-ad27-4c99-a922-c561e5b32015,325b5548-b79e-4ac4-b734-f668de0b4050,HDFC,381407773327086,4,834673567,
016d231d-2a78-4c5b-a582-076a904cf2f7,720963c0-716f-4605-a656-fbd69e20f0cc,KKBK,4930410902818781,46,0,
01accd6e-8a03-4a9c-bae5-6fc06d861a96,46dba69b-caae-48f0-9b80-ffe7edc0dff1,HDFC,8888559885842954,46,0,
01ca12ca-0975-41d3-b7be-65a28fb4a468,31d8ee0b-4c28-4642-ab62-36c59d15d0bd,ICIC,714616439769543,4,939704681,
02243393-7eb5-468c-94fb-a9a7c7649f7a,87a76fac-efe4-4010-9b16-037a7caf5906,SBIN,9375863879343634,21,533095814,
0227b094-0428-4fa7-914f-45d1d62681ad,4f20785c-e68b-4baa-9c8c-6a20f9ba9c40,SBIN,3422251981613186,21,167031902,
02665b17-9e22-4df0-974c-a4f4e58ff9dd,9930ade1-890a-442d-b66f-d2d7307a79f7,ICIC,5437651460858477,46,308341074,
032ec225-6f55-4ce8-8eee-871dbc593037,169a6148-f10e-4e09-b2b3-7f9df36c5005,ICIC,3705192514683937,4,609964792,
03bde1bd-dd40-4d7d-aa69-cb57a69daa87,5f82494d-4fb9-4464-b245-70413518f7ca,ICIC,1853406423875003,46,496162250,
03f43b19-4dba-435e-b252-f8a369b5eaa9,1ca17379-510d-492f-b1f7-0ed9c9b40395,UTIB,5884014754853199,21,-2171776,
040da707-edb8-4158-8635-43bf1503580b,6754ccd7-8e63-43cc-a1f3-a7103e13e5b9,HDFC,7447122646412469,4,520950117,
046ade54-755f-4907-9b9b-e14e2a4c4e85,8fdd41d9-d509-45c0-9841-cf3613b6358a,ICIC,1714927774810599,21,-1951974,
046d42da-374d-4c1f-bd36-244170f282d7,4bd8c0d1-e839-4c3f-9d09-502d5ee09b04,UBIN,1467302070294031,46,384765571,
04901130-4201-4370-b488-ed671c1f669c,d65ea599-bcfe-4d26-ba66-ab03285df164,UTIB,1133755983672643,4,825068551,
0503af66-feb1-424b-a5b6-4267e8e5484c,f37b129e-2f92-4913-b42e-eb2ce513b407,CNRB,2590547099236301,21,401586056,
055e0945-eac9-4557-a51f-8c83dc109c49,b7a5ddf7-ba87-4f44-b3b2-2297eedcfb17,UTIB,3619733237831455,46,270528862,
05799c5d-f180-45b0-b506-a3564ef4efb4,ac33958a-cebd-47a7-a5cf-b5e212628cce,KKBK,5499924818101327,46,530996613,
05937dc7-bfa6-4188-a0c1-2ee7b502c51c,f3ddc3c1-f88c-4ee1-8150-ab9de1729921,SBIN,6179281851078387,4,0,
0601adce-ce54-455b-8140-08513f2dc1d5,bf2881c2-1b56-4f12-83cf-61a8492b5067,SBIN,1068480414909667,46,143691136,
060b9912-17ea-4341-ac77-d13bbe66b3dd,d5f27292-c239-479b-a1ff-a81e27d734a4,UTIB,2580533336615720,21,350281113,
0619290f-13a3-4a22-a702-439a46f14574,e7793272-1c83-41ee-9e73-0f623eb70a3a,KKBK,6423081458715465,46,260065811,
0624e339-4696-4ba8-a8f8-fcc78f016d55,bf2881c2-1b56-4f12-83cf-61a8492b5067,KKBK,3509199228072015,4,-3282051,
0688821c-c6df-4f5d-9cf6-51ddf4510199,a5fd73d2-7ed2-4ec5-a84c-d69da04ebd12,HDFC,2751782968102967,21,416648980,
068f83ae-0f7c-461c-99c3-9ee23b2e3aa9,f4e6c3d0-107c-4f1d-b701-ff452aebec1a,HDFC,2917483009310450,21,180263767,
06b583c9-a83f-4571-8b4d-351a9f39393c,40bf1f02-4366-454a-98e7-40f5157cab25,SBIN,5174249885528051,21,891586321,
06c42872-d96c-410d-b67e-e2d91bf1a894,6c377997-bace-47cd-bb73-cc384de0edb9,TMBL,9171323335612433,46,29839770,
06d5745a-8197-418d-aaaf-ed5df196d06b,869bcc24-1721-421d-be9c-e0ce4406ceab,HDFC,7485628761317222,46,-1553346,
06f5aeff-7e1f-4e81-9463-8704a27e1e8c,9930ade1-890a-442d-b66f-d2d7307a79f7,ICIC,1414437059117104,4,169906587,
06fc163f-3da1-46e1-9f94-9a3ecc101288,7d5de9cd-c739-44a8-87c4-5b60c491bec3,UTIB,5215306524014478,21,216296947,
070a5824-ab5c-434b-b386-470c4d3ad8dd,203b2548-f288-461f-afc5-1f09f2648204,ICIC,6653347357660693,21,487255254,
07389c13-3832-4bc6-90e1-74598bf66e1a,08c95cc8-75d0-4d88-a68a-8ac4743b9ecd,HDFC,6647907965777076,21,0,
074182b3-561f-474d-b7fc-de732bf64814,6c377997-bace-47cd-bb73-cc384de0edb9,HDFC,7769866117067583,4,473450526,
075ff9e3-1a94-4ecf-b1d0-e93932fbd8af,cee0a7f5-970f-4ed1-89ca-03011a8c0e84,CNRB,3565358680636836,21,135847570,
076b3605-3eb2-4ee7-91ce-b9127f4b5e4e,72852910-58da-4a60-a050-f9e6a367de1c,HDFC,424681312396094,4,862793828,
08da77ea-dd4a-4261-b54e-9b53bdeb8935,a98bef23-5827-48c4-8698-d17d2eddc50d,HDFC,8884618506492533,21,794676664,
08f110eb-d73a-44bf-b41d-5b8ce212d956,75238542-9840-45c3-bf19-e40fb92c8896,CNRB,9069788916169324,21,-2668991,
092da668-4a0c-49e5-a46a-e9b3f5a92a33,6093138c-0b60-41f7-8b85-7906030cf5d0,CNRB,233346940771850,21,-181759,
092e5277-9b72-4740-bcd3-7f1f53d26ecd,a39082a0-6519-4116-a837-6bd46db9826c,HDFC,7926343405706454,21,382477685,
099ce20e-8b1b-4418-8130-37fadfbf9363,1e072d2b-4bf6-480f-bcbc-253a259fd1ec,SBIN,4768581554651626,21,578166139,
09c10c88-e16e-447f-b306-9bd8aa6e7d93,752ae527-3e3d-4cd9-8800-7c248201c7d6,KKBK,6240542649371653,4,799956096,
09f3add6-0c78-4a7c-a1c7-7a0300c53728,119ff838-a109-4075-b92f-35acea8b3f33,RATN,3460333842874272,21,390196227,
0ae519e1-9647-47c4-be42-1d6f67f1ee5c,06a67758-0534-4fe2-940b-7f1297ff8b38,HDFC,566402895301112,46,0,
0bb43bae-9be2-4ab9-a93a-6cb8989ca9f8,975e9b47-8547-4f15-91e6-a538ab5cffcb,HDFC,7264314384147920,46,212685550,
0bbb0aac-84d2-40e3-99ec-0ffc4d2a93b2,8e17b5fa-aeb8-4cb1-a9e4-5d7bffd118b6,KKBK,3365587177077664,4,0,
0bf2535b-ab76-4a6f-b002-1f44dd1bb892,fc632fd0-2109-47f1-878f-f85f4a54ccbf,HDFC,352277172596315,21,-480550,
0c02f699-43ee-426a-9df8-adb323408838,6c456dc1-e172-458a-b6ed-64fe38bad7ae,AUBL,8832108144171452,46,926487713,
0c090e51-e8a3-4638-bb3d-b43248618326,7a02ebde-f270-4062-822f-9df1671371dc,SBIN,858092575799186,21,891080543,
0c17b1da-a169-41e3-a444-ddcc11ae5fae,47cf0d34-7e22-4c17-ac53-f526ed853949,UTIB,9588650808008000,21,0,
0c437f33-8cd8-4c48-ac89-1214787a1e41,d0c79745-977d-49da-bac7-3d5d419c6065,ICIC,3585127622050010,21,31148698,
0ca69cab-67bd-4c12-9190-8e1624623d84,2750ad96-f434-40b1-92b3-dd69c5e2efe4,HDFC,1035601614483765,21,462780688,
0d66a827-c2ff-4a3c-841c-cf7233b52e5e,716a8c18-2c10-4087-bddf-7b9a54a5171f,ICIC,1687865066994130,21,233592879,
0dd1d420-4bc6-48a5-a21d-660707983f85,0391041a-9133-46b2-a05b-e57a59a1986f,RATN,1760325487008691,4,-1266125,
0e1eb75b-417d-43c6-b5a6-9ec1f0ce9874,b4980661-4cec-4882-9980-aab5f3565c12,UTIB,5763014604111908,21,491129140,
0e2d42b7-2fcb-4b08-87cc-d1667f6331b0,437be9ef-b6d8-40b7-a773-2178ef7cc9e7,SBIN,4841292911153274,4,207488836,
0eb926b4-8ea9-4fab-83ad-f7bdbbad70cc,a97d45b9-f4cf-4e26-9f70-a878107e1387,SBIN,2820555011189756,4,828419634,
0ebc1720-d184-4319-be28-0a9dd375f3bd,33093c8b-dcec-432f-94a7-389e704736f1,CNRB,3030475819109349,46,359263055,
0edd7cca-7ae2-401a-a282-4a5fb38bcfe9,2507363a-620e-4990-954b-915482939379,HDFC,372504359321394,4,121355600,
0efaca19-38fe-4f83-8e37-7f3d4773e4b4,3ad91970-3162-4322-a3b1-330f98b1b7cb,HDFC,3320296444247080,4,235590128,
0f034982-f33d-47a7-a6cc-ad026808ee1b,35b5aec1-ff29-4415-972c-d99d00909f5a,CNRB,4574974840726337,46,240558641,
0f4f87bd-d40f-4a90-b401-8ee33f92d698,5c63b956-a4dc-4ff9-94f4-750cc2013d0a,SBIN,5854698418911278,21,564863235,
0f997da5-5fa1-4cbc-a7a5-0349941a315a,d9c3e2fa-6aae-46e0-8d5c-42f10d1ae35f,CNRB,7195710069463034,21,0,
0fa63173-e203-4c3c-ac5c-d891b309b309,6cbee662-4b48-449f-bd8c-0de839e94a8a,RATN,2758860256666459,46,307219308,
0fd9e838-e78c-48e9-87b9-6c8a49746c9e,26e9deff-6eef-40ac-b11f-e1d55ece75ef,HDFC,1253125752682334,46,239355923,
1064ebda-2fb2-4492-8627-908ce1a8e7d9,1dad98dc-0ad7-40d5-95e1-9ed81b9d49b4,KKBK,3812342868619308,46,46109676,
1087148a-97ed-4417-8f19-d0e4cd1ca471,8e485761-9558-4934-90c6-4dc3e8bdeff8,HDFC,2922992396695905,21,870933987,
1089dadc-918f-44d3-9225-13a7e6fb41f7,84333611-5e86-4124-bf23-8c30c502ecc4,HDFC,2591011634162628,21,-2062464,
10bbd985-c24f-4357-8bb3-fc3040a8967e,66b3b76a-f1ee-4d7b-9fc0-d545cf9e123a,SBIN,2097851244641477,21,0,
