account_id,entity_id,account_number,program_id,available_balance,bank_code
acfbe204-7541-492c-a352-040aa984bedc,f2f5e332-c2d1-4555-9a6b-65c7cd195077,50200013729069,21,-25907487.00,HDFC
6f306737-dfa8-4bf7-8003-be64034b8dea,2d52dda2-d98a-4381-af80-45bdb173860c,50200099284137,21,-94766029.00,HDFC
bfbfe347-11d6-48d7-acff-4f091f59d34b,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,39208809622308,04,40842693.08,UBIN
212239b5-63d9-4da6-aa8c-46485e0f8a42,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,30123456789012,46,109283.80,SBIN
34448e78-c3fe-4b5d-be8c-a45a6349b8d4,e984c75d-aad6-4655-823a-4e9e06a869bc,40100556677889,21,231680596.77,UTIB
5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,e0000005-0000-0000-0000-000000000005,60100112233445,04,-131629423.33,HDFC
e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,00000006-0000-0000-0000-000000000006,70100334455667,21,8695000.75,KKBK
2d52dda2-d98a-4381-af80-45bdb173860c,00000007-0000-0000-0000-000000000007,80100123456789,46,3887946.81,CNRB
ac1a0654-461b-4216-95d1-bbcb9ab6da4e,00000008-0000-0000-0000-000000000008,90100987654321,21,3278516.63,SBIN
e984c75d-aad6-4655-823a-4e9e06a869bc,00000009-0000-0000-0000-000000000009,20100556677889,46,-117420771.35,ICIC
