account_id,entity_id,account_number,program_id,available_balance,bank_code
1dcd9b72-6467-4706-a221-bf5b9d6359d7,999d0ea2-288a-45b3-bac2-1e8bc44325f5,7692093845782053,4,6225571.73,SBIN
5e0e0e25-1345-469e-ab4a-12b5a854403a,7cfaa258-fb51-4680-901e-dd4ab37b19a1,4341654837861281,46,0.0,ICIC
fc3063ca-6fd4-4944-b67e-c40c6d2c718d,91ee473c-29c0-4c58-b359-4a95515a1f2d,3160079262627320,4,4188895.7,UTIB
a07901f9-9d32-4a1d-bc89-61abf4beed4a,ad583945-9115-405c-8ffb-a559a251489c,3951938609351989,21,8180416.21,SBIN
33924a2d-ed15-478f-991a-7d773647e1cc,80249602-7a9a-44e5-9518-257efa47d811,2100396522475708,46,7808696.85,UBIN
a7fca901-10fa-4890-999f-4021f1281941,d2695a05-dfd2-41a6-84a0-237e0780c48e,8800633125857669,4,2497952.34,HDFC
2440573f-8fed-449b-aeb7-8ff0ec743453,bc53c713-7bff-4cf7-8fe8-c2cba61f5933,6369174208090817,46,5042864.83,KKBK
b18f9ab9-02e7-4828-8061-8a1a65e92600,32566233-08b3-42b1-a470-615b7abf1ed7,5423120732215161,46,4002119.09,HDFC
39425029-6f47-4cd9-b256-c8b717aed27f,831b2915-127c-47f6-a8bc-ce91b873aa54,6616412769279842,4,2473197.65,ICIC
82c868f6-567f-4d38-8047-ecae9e369b2d,e43bfcce-282e-45c2-9d25-a034d9d9bdc6,6064334318831795,46,1922096.79,AUBL
69050edb-858f-4e67-aa54-7d9886550efd,6c456dc1-e172-458a-b6ed-64fe38bad7ae,2621193251514331,46,1832746.69,HDFC
80d4455f-a4ef-413c-b2a5-f1a95acec130,3365c247-bc8b-43f3-86a4-51c8bac85c16,7051290375887460,46,7645237.79,SBIN
2a5693d5-2818-4c65-b4c9-5ce557f813d8,85c9bea6-8694-4586-8f9c-d62e65caf107,6722342511362060,46,4692238.74,HDFC
22cfa8f3-ca74-451c-9818-9998fca10cc6,fe4886d5-c7ea-4cde-b6e9-251829f8e256,8921918271232088,46,6617907.96,HDFC
97a4037b-06f6-4364-913b-e2ab2886fd03,35fced9c-a260-4f44-ba40-f2f13ab725ab,511416804865462,46,-24726.18,UBIN
92b211b1-2a44-47f6-88cb-1195b0c856e6,361c3f15-89a1-4ad2-af1f-655471a51382,7322241746701031,46,8031690.17,HDFC
d2870253-9acb-4c36-a6a6-e38d0eb6c842,31d8ee0b-4c28-4642-ab62-36c59d15d0bd,2925546735684173,21,2579241.81,UTIB
37072cf9-ef16-4096-a35d-caa360b2d755,169a6148-f10e-4e09-b2b3-7f9df36c5005,8859243893898845,21,6844335.66,HDFC
569c31ec-d861-47bb-9cf7-6020611e7c24,c27a6bf9-c2fc-46a9-a7b7-2ac4504c6e01,6695990357858457,46,8307510.45,RATN
df9f1ade-63f6-4321-9ed3-3b68d7e80a88,1391365c-3734-4e35-9b3e-82774793ae9a,5930270237761677,4,6706905.95,UTIB
284d6b0e-0b70-4ebc-a7d3-a44bb9da1f79,6bbc22d8-c586-42ef-a819-f8c62d2eda1e,836046039366633,4,7582810.0,CNRB
f120a23c-605b-4ca5-a412-752ee027bdb1,62c3a514-3153-412e-b1ac-0193ab6ce3ff,4838310078509282,4,976077.27,AUBL
f497c5bc-81d0-4b5e-a8f3-6b4666f0b010,d0bd17ce-1ae5-45f8-806e-1e74555aae5d,8328075699545995,4,5112703.8,SBIN
a44fe76d-5fa3-4625-a954-c51e0785493e,4057cdcb-5d0e-4470-b681-022056150cdb,838310863714698,4,1973114.81,HDFC
f98295f2-82c0-4c5f-921b-8a25fded1c68,292b0284-902a-4dac-82ba-22baa9736eec,5165806233224187,46,3765457.82,ICIC
3f3ba940-4192-4fa8-b520-77771a85c4b4,4bd8c0d1-e839-4c3f-9d09-502d5ee09b04,1570939875081010,21,-43094.34,UTIB
1ab9288b-e828-44d7-974c-a97be12e30ae,6592d771-1d6d-4143-8581-361071e678bf,6821458464124233,21,0.0,KKBK
1fa3fa72-ccf2-4954-b861-55b98a6f7aa3,6bdb12aa-7c67-4b1d-a3b6-3f9e7ea5febe,7448391533598486,21,1913924.55,UTIB
b72af847-f82d-49cc-aae2-46fe04f8b5c7,a48a6144-5b32-47be-9d18-48ac3502201a,7040142915410920,4,0.0,HDFC
1b27735c-a7ce-41e3-803d-5acf3e7701f6,a4806683-cbfe-41b4-a7e4-e7f7cd37592f,7819069012319635,4,9752784.54,SBIN
3f04d26f-6499-4046-93c0-c1ffee90532e,22e8b7dd-c358-484f-bc83-8e862bafe5b5,2990484198584396,4,2662741.26,SBIN
2c851aa3-4abb-4ed4-a3c2-17ee69d718ea,b4b04254-63af-446c-963b-02ab8e0bdee0,1595874318667272,4,1889825.34,HDFC
ac43c3a5-17c5-4cad-b467-4ba53f0c92d4,79566333-7dab-411b-a687-674d215f1794,7905855424275561,21,5995818.96,ICIC
dec1a6d7-1617-4c50-b1fc-8d310ad9235d,c999d05c-4b0e-4c2a-a1da-dc4615762619,166644650333888,46,8505312.45,KKBK
4fa000f2-4999-422a-bd66-fde2eb843594,6d479178-ff15-499f-b6c0-a907f6042ec9,5124657354827708,21,2286349.82,HDFC
369d0d9e-5689-43df-8dc0-212e2593d85c,ca3ef5eb-57cf-4f4c-9e44-a69091c1536d,6660720824493948,4,7556666.47,HDFC
40f14dc5-a1a3-4c49-b6e8-a2e4250f7ef5,2507363a-620e-4990-954b-915482939379,5985269887560745,21,5080200.17,SBIN
e8507a2d-743d-4568-a412-229ca620633e,35b5aec1-ff29-4415-972c-d99d00909f5a,9649655073471710,46,5768735.6,ICIC
eb12ea16-b538-492e-81b5-d9da577c5930,d65ea599-bcfe-4d26-ba66-ab03285df164,3560309185762551,21,1557578.98,SBIN
71e6f3d1-62c6-4426-90d1-fa69e0a711cd,50784c8c-725c-47dd-bf27-724667afc5f9,7818368640490115,4,8218788.66,SBIN
12a90233-3e88-4dd3-8635-498aecbc1068,8ab97360-b809-4571-b0e1-b6043b895d22,6006436027871469,21,4129406.4,HDFC
56b6ed02-71fd-41c8-9e20-e7a8494c75ee,6ce92d07-39f1-481c-85c5-d2894f290e94,1146606945897115,21,5138091.15,HDFC
83e08921-1a92-4024-9cd8-dd25ea9f1b94,595b927c-a84a-4fcd-8c6b-bda445f878a7,2058166685934887,21,0.0,UBIN
9d9318f6-ba94-465f-92a3-be1cb96511d6,7cd2847d-0308-4a2d-a18d-6a9aba65947c,6625384299794588,46,5764649.22,KKBK
144dd172-1b73-483d-a4c0-fd61f3103aaf,6e303a6d-7eb0-4971-88ef-41ff69a48fce,330010123808924,4,7794532.58,UBIN
b71f75f2-c8a8-4d73-96fa-41063cc8a658,bc53c713-7bff-4cf7-8fe8-c2cba61f5933,265758022888904,4,3464300.25,KKBK
9284461c-bd58-45bd-afd6-a3579d1346cc,46dba69b-caae-48f0-9b80-ffe7edc0dff1,5129479528445725,21,5754011.13,KKBK
